id,flowerday,FMflowerdiff,germday,espigalength,shoot,root,finalheight,finalstemw,numlvs,numflwrleaves,length3leaf,width3leaf,red,green,blue
33,86,0,23,6.4,3.85,1.08,84,5.01,6,4,14.9,2,101.200492784979,73.962,74.3425421992041
34,85,2,21,6.4,3.08,1.05,107.6,4.82,5,3,10.4,2,122.283916452696,89.773,88.729636070422
35,93,2,21,11.8,3.9,1.82,140.4,5.42,5,3,17.5,2.3,142.349990054738,81.937,84.8103519447768
36,104,4,46,12.6,3.79,1.93,108.4,6.05,4,2,29.4,2.8,114.88508148608,77.269,73.3177165213926
37,91,1,23,6.1,3.69,1.73,75.5,5.39,5,3,13.5,2.4,172.278466141159,119.167,93.4375503588617
38,91,2,21,10.5,3.57,1.83,109.6,5.34,5,2,17.5,2.2,135.230156525057,79.968,83.78313769459
39,116,6,32,13.5,7.6,3,125,7.28,6,4,18,2,93.0008822674575,44.899,48.5778440357104
40,85,0,22,3.7,2.65,0.8,94.2,3.88,5,3,18.8,2.1,132.769512842352,78.805,81.3490612017092
41,86,4,20,13.6,4.35,1.33,128.7,4.83,4,2,33.8,2.5,208.331676454112,137.285,132.953181839846
42,89,5,21,10.3,3.22,1.23,124.2,5.46,5,3,24.3,2.3,163.3553988235,106.946,100.457892231989
43,90,4,21,9.9,3.49,2.01,122.2,5.91,5,2,14.1,1.9,151.769958110566,56.364,66.0190590623934
44,99,3,21,8.9,4.68,2.77,121.1,6.55,6,3,16.2,1.7,172.40973560493,105.188,110.128842460105
45,102,7,39,11.2,3.52,3.09,77.2,6.48,5,3,21,2.7,172.899893358688,137.866,137.814485686468
46,128,4,77,13,4.77,2.03,66.9,6.13,4,2,36.3,2.6,136.217036356554,80.913,73.1816282517318
47,95,5,22,14.7,3.52,1.35,68.3,5.61,5,2,35.1,2.7,182.341167578889,131.927,130.965489261664
48,92,2,21,8.3,3.26,0.89,132.8,4.43,4,2,22,2.3,105.138725048243,56.804,64.6412914278963
49,86,4,21,11.3,3.15,1.16,91.3,4.8,6,2,18.2,2.5,183.180813651419,88.151,100.176014023955
50,86,0,28,8.5,3.25,1.27,77.7,4.06,5,2,17.7,2.1,183.005124715945,100.318,94.9538941320239
51,98,2,23,13.5,3.85,1.84,106.1,7.3,6,3,15.3,2.4,139.720266106612,66.176,72.451746651933
52,93,4,21,9.1,4.68,2.11,136.2,6.4,6,3,15.4,2.2,134.325730514224,82.529,83.7133613007066
53,80,4,20,9,2.91,1.12,115.6,5.84,5,3,22.5,2.3,185.682238821687,130.137,90.0733701930891
54,106,7,28,13,4.89,2.31,160.1,6.2,5,3,21.1,2.1,NA,NA,NA
55,NA,NA,21,NA,0.03,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,102,5,39,13.7,5.24,3.23,108.9,6.75,5,2,20.9,2.6,171.172552761113,115.105,120.959549966029
57,85,4,21,12.2,3.23,1.19,127.8,4.57,6,5,11,1.7,168.103351768781,140.027,121.029426702712
58,89,5,23,13.1,3.35,0.98,123,4.85,5,3,17.2,1.9,110.004201099626,74.639,80.2622618135377
59,86,0,21,NA,3.87,1.26,109.2,3.73,6,3,22,2.1,230.287706453919,167.335,136.775878418632
60,85,2,21,8.1,3.28,0.9,129.2,4.06,6,2,13.5,1.9,112.372236873651,62.597,62.5522053778547
61,97,2,21,12.4,3.77,2.37,94.6,6.98,4,3,23.5,2.6,165.900525473885,131.791,58.5977286781696
62,85,4,21,7,3.37,1.34,125.2,5.29,6,3,17,2.2,149.982006713018,71.122,65.683405756853
63,93,2,21,10.7,4.16,1.8,129.2,5.92,5,3,21.2,2.4,97.6448162053812,75.492,58.2348689223036
64,85,0,23,9.3,3.16,1.15,97.8,4,5,3,16.8,2.2,169.500863102374,72.708,76.9043209069821
65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,85,0,24,6.8,3.1,1.05,98.9,4.14,7,4,8.2,1.6,183.850107887797,87.08,88.035743457379
67,86,0,20,7.7,3.61,1.13,95.3,4.82,7,3,13,1.7,184.515212947046,92.71,101.903867335596
68,80,4,21,8.1,3.99,1.19,86.6,6.37,6,3,13.2,2.2,144.521074351016,93.135,71.5583945293924
69,87,0,21,7.1,3.89,0.99,125.6,5.27,5,4,21.4,1.9,184.050249051979,161.747,143.040101955045
70,86,3,22,7.3,3.98,1.31,124.3,5.16,6,3,16.5,2,183.041726577502,82.244,90.8821462908296
71,85,3,21,8.2,3.95,1.08,125.7,4.76,6,4,15.2,1.9,175.388264205227,107.362,101.573060084294
72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,88,0,19,5.5,2.89,1.49,95.2,5.13,6,3,13.7,1.7,174.733554316554,116.425,129.08474608141
74,86,3,22,7.4,4.41,1.14,146.5,4.41,6,4,13.3,1.9,138.175164680726,73.872,74.6272882235588
75,80,4,19,7.3,4.11,1.08,117.7,6.5,6,4,12,1.8,96.9957368358222,49.846,52.1114284211874
76,86,3,21,8.9,3.74,1.45,128.6,4.16,6,4,19.5,2.5,182.032560965997,120.451,95.2467661864413
77,95,3,23,10.4,5.12,2.15,134,6.68,5,3,16.4,2.2,195.101608968856,132.871,136.658353554096
78,128,2,60,12.6,9.64,2.44,130.8,6.53,5,3,23.3,2.8,117.565374634811,48.981,55.0984347106142
79,86,3,21,8.5,3.71,0.85,90.4,4.62,6,2,14.9,2.6,184.149194331475,130.27,100.747986719572
80,95,4,31,11.7,5.64,1.86,128.8,7.53,6,3,19.4,2.6,156.134295443464,91.01,104.369497087428
81,89,5,23,10.3,4.56,1.5,119.1,6.6,5,3,16.6,2.2,78.5357284607736,57.625,58.3577628652994
82,125,3,60,10.4,3.7,2.1,96,5.31,6,4,18.8,1.7,94.8675795862507,54.238,58.4369414598501
83,102,6,22,11.5,5.89,2.62,130.8,7.43,7,5,14.5,1.6,155.667667538937,111.433,122.652270258533
84,102,6,22,11.9,5.97,2.88,118.7,6.83,6,3,26.1,2.6,166.135218002979,112.559,120.960476468652
85,95,4,22,13,3.11,1.49,74.2,5.63,5,3,17.5,2.1,215.244750952855,127.847,119.474691033821
86,85,3,25,8.5,3.23,0.93,126.4,3.96,6,4,11.8,1.6,122.02748741309,66.963,69.7615627144117
87,94,2,21,8.5,4.84,1.45,124,5.46,5,2,20.2,2.5,162.460890663672,78.397,89.1239469907615
88,99,1,21,17.2,5.99,2.72,124.5,6.9,5,4,28.2,2.8,151.428525315291,109.487,88.7860512899513
89,89,0,21,12,5.66,1.84,167.3,6.85,6,3,20.5,2.4,155.166172773546,102.507,97.1642385214214
90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,85,2,21,8.2,3.59,1.41,101,5.31,5,3,24.2,2.3,159.109278350515,112.863,91.4895334400627
92,110,3,48,13.3,6.74,2.87,132.6,7.45,5,4,23.1,2.9,119.50758007142,64.336,62.4056159813219
93,92,1,21,10.7,4.5,1.66,116.6,5.7,5,3,15.3,2.2,174.135572678206,74.382,83.3820832988716
94,92,2,23,12.5,3.98,1.53,101.6,4.88,5,2,19.4,2.6,167.913129468003,91.696,86.2666450050216
95,92,1,19,10,3.46,1.89,120.4,5.43,5,2,18.6,2.2,165.29841064974,68.017,74.2960682932593
96,92,3,21,10.3,3.13,1,120,4.33,3,1,25.1,2.3,208.264410395055,91.385,91.810744254741
97,85,3,20,9.2,3.24,1.47,101.7,5.64,6,3,15.4,2.2,160.530676096859,86.663,89.1897817492731
98,90,0,21,5.6,3.92,0.99,105.6,4.68,7,3,16.6,1.9,124.562164471146,52.539,57.3113500995344
99,85,2,23,3,3.14,1.18,102.2,4.05,6,4,13.4,1.7,158.570390793575,96.472,93.3043601136995
100,85,1,21,9.1,3.02,1.1,127,4.09,5,2,19.3,2.1,171.452325286972,63.258,77.1517396831606
101,80,4,23,9,3.88,1.62,109.7,5.47,6,3,17.2,2.2,117.423231562363,71.437,66.2546198991569
102,96,0,48,8.3,4.54,1.28,119,6.47,6,3,19.2,2.6,212.548566851002,138.967,113.261691422571
103,85,2,22,8.8,3.35,1.02,97.5,5.5,6,3,10.3,2,164.679459883046,72.864,72.7838162526892
104,102,6,23,12.8,3.44,2.88,65.1,9.65,6,3,18.5,2.3,181.603374977913,108.674,111.197918328465
105,85,3,19,6.4,3.26,1.63,100.5,3.66,6,2,17,1.9,189.437727696942,79.916,94.1175692352826
106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,114,5,22,11.5,5.98,3.13,97.8,10.16,6,3,24.2,2,131.205456108575,69.673,72.3172647182542
108,90,2,22,4.3,5.82,2.43,92.4,6.32,6,3,13.9,2.1,161.127584559702,97.582,81.2446136397884
109,97,2,21,7.9,4.5,2.35,116.2,6.79,6,3,12.5,1.7,171.29385552125,85.897,87.2968907804572
110,NA,NA,NA,NA,NA,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,98,4,21,12.7,4.74,2.32,122.9,7.18,5,3,18.1,2.4,155.958121036303,72.527,79.892119408893
112,92,2,21,3.3,4.02,1.31,122,4.74,6,3,19.7,2.1,172.475079334293,66.625,75.6462132687423
113,97,0,21,10.8,4.01,1.59,126.1,6.4,5,2,22.4,2.3,156.255701404476,79.745,87.8171030737103
114,86,3,21,12.3,3.07,0.89,138,3.94,6,4,27.8,2.3,110.255655650192,50.092,59.6151409645987
115,102,7,21,13.4,4.41,3.07,74.7,9.8,6,3,17.1,2.4,114.820291719606,80.116,86.6854384276478
116,92,-3,21,7.1,6.5,1.93,119.9,5.04,6,3,25.2,2.3,150.59840269574,62.19,71.1652202989307
117,109,7,28,11.5,4.81,3.2,129,7.13,6,4,16,1.8,154.412339397289,89.16,90.3223418666571
118,80,4,25,9.5,3.59,1.3,107.1,4.92,5,3,14.6,2.4,128.605218645527,72.359,81.8866446784794
119,94,1,21,8.9,4.31,1.38,120.8,5.5,6,3,16.8,2.2,127.47611441124,78.604,77.1226161975759
120,87,2,32,11.9,4.59,1.29,132.5,7.05,6,4,15.7,2.5,138.425520752794,72.01,82.5652702782176
121,88,3,19,10.1,3.34,1.46,107.6,5.98,6,3,13.3,2.2,167.330744076025,112.306,118.792457354313
122,96,1,22,9.2,3.98,2.45,83.8,6.92,6,4,13.8,2.2,152.863948768218,60.061,64.675053942122
123,87,4,19,10.1,4.6,1.13,142.7,6.5,5,3,13.1,1.9,118.401870742418,105.136,92.4493055219174
124,106,1,21,10.5,4.69,1.92,152.5,3.52,5,3,20,2,NA,NA,NA
125,89,0,23,6.9,3.64,1.51,110.4,6.32,6,3,18.8,2.3,195.414807446152,123.541,119.212455330191
126,95,2,21,14.3,4.15,1.59,122.2,4.93,4,2,23.4,2,NA,NA,NA
127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,89,3,25,12.3,3.33,2.3,97.5,7.85,6,3,17.5,2.3,197.511604160039,113.408,106.131565005561
129,85,7,23,11.5,3.29,1.6,110.5,4.68,6,3,20.6,2.1,232.2276215716,90.506,101.286131625269
130,100,4,21,9.4,4.57,2.2,105.9,6.94,6,3,15.7,2.1,230.907662963532,96.767,83.5301870262593
131,87,4,20,10.9,3.22,1.04,124.9,4.04,6,3,19.5,2.3,203.672918761758,150.862,136.624130510722
132,112,1,21,13.4,7.86,2.71,127.1,7.18,4,3,34.3,2.6,128.40818206278,62.283,74.1726334132663
133,NA,NA,90,NA,2.05,1.86,19.4,9.76,7,NA,28.5,3.1,84.2447858123709,46.827,48.9805090732505
134,88,2,30,7.6,4.42,1.56,110.3,6.19,5,3,17,2.4,202.056615248872,128.426,130.380487529709
135,85,2,22,6.8,3.05,1.3,90.2,4.26,6,3,17.5,2,183.481480123649,92.468,94.465412966947
136,86,9,21,12,4.88,1.04,164.3,6.07,6,3,19.2,2.4,141.146513495681,80.982,84.1349764940365
137,86,12,21,12.4,2.9,1.2,103.5,5.88,6,1,18.7,2.4,182.772470009597,131.86,91.1417416400392
138,87,2,22,11.1,5.17,1.87,122.4,4.58,6,4,19.3,2.2,172.460057208825,139.668,131.144550623075
139,85,2,21,4.7,3.86,0.99,99,4.6,5,3,24.6,1.9,226.406743261336,130.68,114.955396440446
140,90,2,21,6.7,3.4,1.13,103.7,5.72,5,2,14,2.4,203.303057193775,110.825,107.081681695972
141,88,4,21,11.2,4.49,1.57,146.8,5.69,6,3,16.4,2.1,133.11956585218,112.133,106.084274358739
142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,116,6,32,13.9,9.59,3.01,129.6,8.9,6,4,19.5,2.2,138.47607525539,71.874,72.1694810153813
145,85,2,22,13.4,4.08,1.52,115.2,5.17,5,3,18.9,2.1,148.278868357321,66.071,66.5335613142969
146,87,2,21,5.2,2.83,1.05,88.7,4.65,5,2,17.5,1.9,145.328469941851,120.63,110.630638010437
147,89,2,21,9.5,4,1.28,150.1,5.41,6,3,11.6,1.9,190.793493216311,103.672,105.170924482339
148,85,0,21,9.4,3.09,0.94,104.7,3.96,5,3,14.6,2.1,135.03689296895,75.696,71.031677684334
149,91,6,21,12.4,3.99,1.65,110.3,6.4,5,3,15.8,2.3,104.854831168307,60.323,66.2130629092278
150,84,1,21,10.8,3.09,1.14,103,4.37,5,4,15,2.1,187.753978449316,129.769,89.2993665197888
151,93,3,21,10.7,3.64,1.69,107,6.83,5,3,18,2.1,161.121903436702,84.733,88.6743037285231
152,87,2,19,9.6,4.16,1.17,109.3,4.94,7,5,14.2,1.9,165.267873824183,108.991,105.57808618256
153,88,2,21,7.2,3.47,1.22,117.3,4.56,5,3,18,1.9,118.346032773265,91.358,108.59525181263
154,87,4,21,9,3.46,1.06,134.4,5.3,5,2,15.6,2.1,185.906073114418,132.293,122.494471455458
155,98,9,21,9.6,3.69,1.82,123.1,6.02,6,3,16,2,179.677473951408,91.418,82.4631334443858
156,113,0,36,8.8,6.71,2.36,124.6,6.81,5,3,24.1,2.7,77.0243808295964,37.972,40.6357682643712
157,106,1,24,8.2,4.47,2.52,109.2,7.28,5,3,26.3,2.5,139.548566131405,74.466,78.3052917069399
158,107,9,39,14.7,3.61,2.72,78.6,6.39,5,3,18.8,2.3,163.855556267124,131.844,98.506889651935
159,88,NA,21,14.1,4.04,1.18,116.4,6.46,6,0,18.7,2,154.935637750022,99.195,107.416966063961
160,92,3,24,11.4,3.76,1.79,111.4,4.8,5,3,17,2.1,144.494650092568,79.738,78.6565758846813
161,89,5,39,10.3,2.73,1.45,81.6,5.38,5,3,15.3,2.1,146.33304142261,66.818,69.975078112588
162,103,10,48,16.8,2.81,1.59,85.7,5.94,4,2,32.3,2.7,139.520236132837,95.034,92.7332564922562
163,86,3,21,10.5,2.51,0.46,91.7,4.41,4,2,16.7,2.1,196.171829714491,182.792,101.964090986744
164,83,6,22,9,2.28,1.18,79.1,4.33,5,3,17,2,182.461917221101,134.859,82.4765115050924
165,85,0,21,5.2,2.53,1.04,64.2,3.36,5,3,16,2.3,165.921421582766,121.051,75.207254491214
166,85,4,21,10.5,2.44,0.87,80,3.81,5,3,13,1.8,162.543350453708,97.855,83.7442242193564
167,93,2,31,12.3,3.31,1.78,91.8,6.34,4,2,26.2,2.2,186.634514736216,111.378,111.483047765487
168,NA,NA,21,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,85,10,21,12.5,1.97,0.71,82.7,3.89,5,2,20.4,2.3,157.765792714042,101.033,80.2611997456304
170,83,0,21,8.8,2.65,0.77,91.7,5.6,4,3,19.5,2.2,120.41573932266,53.106,55.7767284333923
171,91,0,21,8,3.12,1.41,98,5.54,5,2,19.1,2.3,168.218040503469,118.864,91.959579688088
172,93,7,21,12.2,2.69,1.94,75.5,5.46,5,2,18,2.3,199.884868685103,135.588,109.016172870672
173,90,5,22,10.7,3.06,1.45,95.1,5.51,4,2,18,2.3,167.435359826563,88.794,89.4495229484404
174,91,4,21,9.6,3.05,1.24,91.8,4.67,4,2,23.4,2.1,119.798389563498,76.536,77.5289104569971
175,83,6,21,10,2.31,1.06,97.6,4.74,5,2,18.6,1.9,170.167957977422,111.268,87.2623216783217
176,92,0,19,9.2,3.45,1.43,102.9,4.01,5,3,13.6,2,103.992949386308,66.782,61.5051279021681
177,92,8,22,10.1,2.63,0.78,106,3.54,5,2,14.2,1.7,114.985344813737,62.256,66.7232078927158
178,116,12,22,13.3,3.77,3.29,68.4,9.22,5,1,21.3,2.3,106.826422144956,69.697,44.2953437668065
179,88,4,21,10,3.33,1.21,122.6,5.63,6,3,13.7,1.8,178.721086352915,103.121,106.108091081021
180,93,4,21,8,3.5,1.68,100.5,6.49,5,3,15.3,2,204.860717389784,123.7,109.601469423662
181,94,2,21,8.8,3.23,1.26,103.2,3.64,5,2,20.5,2,182.860364286369,113.541,115.210185846264
182,90,5,21,11.6,3.38,1.2,100.2,5.91,5,2,18.9,2.1,121.698900402359,55.158,58.3091389278831
183,109,3,48,15.7,4.13,2.05,98.9,6.44,4,4,30.5,2.3,158.632004313995,128.84,95.3711368869859
184,85,0,21,11.2,2.76,0.51,98.6,3.2,4,3,24.1,1.9,199.694455438955,145.648,92.203526292656
185,90,2,21,6.8,3.21,1.38,118.7,4.45,4,2,34.9,2,147.999767587132,96.937,90.1241531640851
186,106,9,65,14.2,2.59,1.23,91.6,5.43,5,2,24.8,2.3,143.004945922203,73.848,72.7633995747149
187,101,3,39,7.9,3.48,1.47,106.4,5.81,6,2,11.9,2.3,162.601537876304,72.109,72.4914252750201
188,85,0,19,9.2,2.55,0.99,107.3,4.51,4,2,37.3,1.7,145.63215605795,86.812,78.2187253462513
189,91,2,22,8.4,3.1,1.01,92.4,3.98,4,2,21.9,2.2,170.221922825561,107.705,99.4017353012502
190,88,2,21,10.4,2.75,1.13,121.7,5.27,5,3,16.2,2.2,144.880960671423,113.696,108.353786572503
191,85,4,21,6.7,2.58,0.92,110,3.92,6,2,11.8,1.7,94.0123775874692,42.872,45.0010090619184
192,98,5,39,12.8,4.64,1.61,104.5,5.62,5,3,15.2,2.4,118.52812697933,74.332,70.098131151867
193,95,1,31,6.5,3.95,1.47,128.9,5.66,5,2,16.5,2.3,187.146211200769,129.48,125.642279076812
194,103,5,22,11.8,3.76,1.93,111.8,5.86,4,2,28.1,2.4,133.16466255226,101.832,98.4131782335705
195,95,9,22,13.4,2.64,1.22,82.9,5.68,5,1,24.5,2.4,123.921898314047,89.675,90.9005240358218
196,79,9,21,7.1,2.23,0.69,103.3,3.91,4,3,18.8,1.5,140.249804659957,108.725,50.6184075587949
197,106,4,21,11,3.9,2.29,99,6.93,6,2,21.2,2.1,115.23111250715,55.203,56.8525149816354
198,85,3,19,6.8,2.59,0.92,92.6,3.78,5,2,21.2,1.8,101.130456037983,57.855,54.5337890789388
199,92,1,24,7.2,4.8,1.4,124.6,4.56,6,3,15.5,1.9,118.999064932238,60.782,57.4826738061798
200,87,5,22,7,3,0.86,101.4,3.21,6,1,20.4,2.9,171.07019398837,99.166,100.743649980039
201,88,0,23,6.4,3.66,0.56,112.6,4.7,4,3,20.3,2.1,NA,NA,NA
202,85,4,21,6,2.23,0.68,104.5,3.29,5,3,12.3,1.9,65.6508381958157,42.873,44.4758277767906
203,86,2,19,8.9,3.13,0.99,111.5,5.22,5,3,21.5,1.8,162.520963951536,97.928,91.1465447420038
204,86,0,19,6,2.01,0.88,85.2,3.77,6,3,20.3,1.3,159.711001139635,83.485,82.5288191970641
205,109,6,22,10.5,5.77,2.9,130.7,6.8,5,3,19.3,2,116.360907988912,67.593,52.017614885043
206,85,2,21,6.2,2.45,0.61,98.2,3.6,5,3,22.7,1.5,225.374177150912,162.93,110.396008316075
207,113,3,53,11.3,5.27,3.21,112.2,6.57,5,3,24.4,2.4,160.2924186138,92.513,104.657656874127
208,85,0,19,8,2.57,1.11,89,3.12,4,2,29,2.2,196.114274301101,111.469,90.2163878969127
209,86,3,24,8.4,2.82,1.15,110.6,5.3,5,3,20.6,1.8,96.4963512667378,55.764,55.8194079601107
210,100,0,31,6.8,4,1.72,106.1,6.56,6,3,12.5,1.8,168.36163435572,57.146,64.3440296710252
211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,86,3,22,9.6,2.68,0.9,117.3,4.94,6,3,23.5,2.4,162.894584932822,87.052,81.9562894428802
213,102,3,30,12.5,3.77,1.59,137.5,5.32,4,2,30.3,2.3,101.016035642465,80.163,73.3669632197917
214,85,3,23,5.5,2.09,0.72,101.7,4.15,4,2,22,2.1,162.225438567324,95.764,82.500344525384
215,87,3,21,11.2,2.14,1.07,93.7,5.06,5,2,23.2,2.2,183.775464682743,98.171,100.395769362382
216,92,3,21,12.2,3.27,1.48,100.8,4.07,6,3,16.3,2.4,191.489887987808,97.556,98.7677563202247
217,86,2,21,10.1,5.29,1.19,146.8,5.23,5,3,20.5,2.7,154.775873860365,87.509,86.5941646999272
218,85,0,22,3.8,3.74,1.14,107,4.45,4,3,22.7,2.4,169.802388998319,90.178,93.530293205607
219,85,3,21,9.7,2.71,1.17,114.8,3.92,6,3,15.7,1.8,183.691326219347,93.306,89.8028594503395
220,90,-3,23,6,3.31,1.53,104.4,4.95,5,3,17,2.4,155.620973526614,88.209,85.8868782027136
221,86,2,21,8.9,3.29,0.8,121.8,6.14,5,3,16.1,2.5,97.3404540913487,54.485,53.7360568262474
222,95,1,21,14.6,3.31,1.88,104.1,4.82,4,2,26.2,2.4,122.237066881846,92.564,93.9943474323292
223,90,0,24,9.1,3.27,1.36,128.3,5.24,4,3,23.3,2.2,135.302863211778,72.108,75.183899903909
224,NA,NA,NA,NA,NA,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,92,1,21,11,4.04,1.36,114.5,4.02,4,2,23.5,2.5,177.821393566647,103.176,93.9771260533708
226,88,0,21,8.2,2.83,1.19,105.8,4.96,6,2,19.1,2.1,167.180379420218,111.27,112.129555168302
227,92,2,21,7.8,2.52,1.63,78.4,3.48,4,2,20.6,2.1,168.533714907745,83.304,83.4218978230337
228,86,4,21,9.1,2.56,1.31,101.9,5.24,5,3,16.8,2,191.350579728207,93.457,95.3510707378096
229,106,7,48,14.5,5.27,1.9,138.9,6.36,5,4,21.7,2.6,165.581124928496,117.212,112.308529286681
230,102,5,39,11.7,4.16,1.39,109.6,5.91,5,3,21.1,2.5,156.817372975338,115.589,106.66268798812
231,116,6,48,16.2,7.71,2.92,139.1,6.97,5,4,25.6,3,144.067953916703,84.851,80.0515834140045
232,126,2,79,10.3,4.29,1.52,106,5.76,5,3,22.5,2,93.590290949815,54.028,50.4967013158797
233,85,0,20,5.3,2.29,1,103.2,2.73,6,2,19.5,2.1,172.22966496196,85.654,89.6117090013514
234,107,3,53,10.4,5.12,2.21,105.3,6.91,5,2,26.2,2.6,70.8116088692302,47.848,46.0388851292729
235,96,0,21,11.5,4.12,1.67,149.8,5.38,5,2,24.2,2.2,180.705901309462,116.049,108.087795745431
236,114,2,39,12.5,6.63,2.93,118.1,7.9,6,4,14.2,1.6,123.34236301499,67.297,73.7851886998805
237,92,5,28,11.4,3.15,1.49,123.4,4.32,4,2,19.5,2.2,171.053720785936,94.093,85.7228476123596
238,86,2,21,9.5,3.31,0.89,113.7,5,6,4,12.1,1.9,147.423513694328,76.313,72.9823006423451
239,91,4,21,10.1,2.86,0.97,107.6,4.58,5,3,14.5,1.8,162.273940132322,77.568,79.3948165238115
240,91,5,21,10.6,3.16,1.6,100.3,5.9,5,2,20.1,2,190.382329917702,87.072,93.9038930133378
241,85,8,21,9.3,3.39,1.02,110,5.43,5,3,15.5,2.2,145.052728445705,84.148,76.0409734125493
242,96,0,23,7.6,4.66,1.58,107.6,6.75,5,3,21.7,2.4,NA,71.163,NA
243,92,3,21,10.3,6.91,2.66,159,5.1,6,3,17.6,2.6,170.532039187939,101.748,89.587426264045
244,103,6,21,14,4.91,2.05,131.5,5.36,5,3,23,2.4,133.48698250903,97.128,89.3020242779406
245,92,1,21,8.8,3.44,1.46,114.6,4.18,5,3,14,1.6,220.901597997061,144.893,139.413305828652
246,91,0,23,5.6,2.78,1.08,92.4,5.63,5,3,17,2.1,177.046380486526,109.542,94.5227503031317
247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
248,85,0,22,6.8,3.22,1.06,98.2,4.45,5,2,17,2.2,122.572089741041,72.317,69.0866929689187
249,NA,NA,NA,NA,NA,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA
250,100,6,46,12.1,2.91,2.5,94.9,5.67,6,3,22.3,2.1,172.424499418183,60.347,68.8436500609784
251,93,NA,19,14.1,4.05,1.87,82.8,6.3,5,2,21.7,2.9,143.51406492326,70.744,75.0239499854653
252,99,0,39,8.5,3.73,1.72,93.6,5.23,7,3,10.7,2.2,103.202096866504,70.508,59.6069308129367
253,86,3,22,8.8,2.96,0.94,123.6,4.36,5,3,13.1,1.8,123.080532368864,64.095,68.9096142203137
254,90,4,21,11.1,4.43,1.91,143.2,5.33,5,3,17.4,2.3,NA,NA,NA
255,124,2,81,9.6,3.39,1.34,75.1,4.78,5,4,18.5,2.2,130.470291627824,68.9,66.6932840942921
256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
257,86,3,22,7.7,4.06,1.51,137.6,5.52,7,3,14.8,1.9,133.967323259918,90.287,78.7252685783235
258,79,9,19,9.5,2.19,0.92,86.2,5.34,5,2,17.8,1.7,99.0467758454297,43.564,40.9538175528574
259,86,3,30,9.8,2.67,1.32,117.2,5.66,5,2,15,2.1,186.039812955522,119.834,99.3047370998651
260,NA,NA,NA,NA,NA,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA
261,85,4,21,12.1,3.18,1.46,117.6,5.15,6,3,14.6,2.4,99.254435537998,52.334,53.9467791591361
262,86,3,21,6.4,2.42,1.18,97.5,5.06,5,2,18.4,2.1,165.762237644197,84.687,81.4017196749237
263,87,3,21,9,3.71,1.2,121.4,3.88,5,2,25,2.1,173.041834744313,85.468,92.600666633398
264,95,2,21,10.6,3.21,1.88,91.4,5.76,4,2,25.8,2,130.489499713343,103.72,105.638683576109
265,92,6,21,11.6,3.04,1.36,121.5,4,5,3,13.8,1.8,137.188072279976,90.415,78.6664712078652
266,87,2,21,10.4,3.94,0.9,149.2,2.28,6,3,24.4,2,141.444801308363,79.267,83.6376789737082
267,92,1,19,10.3,5.89,2.39,117.7,4.43,5,3,26.3,2.7,171.941016056169,120.847,107.951020014045
268,114,2,23,10.7,4.87,2.38,95.9,5.72,6,4,17.9,1.7,151.109003991247,104.539,88.448050005889
269,88,3,21,10.1,2.34,1.03,93.5,5.25,5,3,16.5,2,144.20733239672,82.766,90.8117921672934
270,104,5,22,10.9,3.4,2.4,90.4,6.64,5,2,20.6,2.4,129.132146285335,63.294,55.0138596005379
271,86,4,21,8.3,3.42,1.09,107.5,5.62,6,4,12.6,1.8,168.344979820485,74.668,80.9489287940812
272,85,4,24,13,4.33,1.12,140.7,6.4,5,4,18.6,2.9,135.263446694011,78.093,76.8013564999909
273,NA,NA,NA,NA,NA,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA
274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
275,83,0,21,4,2.71,1.39,95.8,5.28,5,3,13.9,2,147.229495396403,95.099,70.8189706061573
276,93,0,22,9.5,2.31,0.3,62.9,5.48,5,3,12.9,1.8,173.753893245464,156.596,101.427015161947
277,85,3,22,11.9,3.95,1.36,130.8,5.58,6,4,17.4,1.9,149.584767235385,84.017,83.1994157219271
