id,flowerday,FMflowerdiff,germday,espigalength,shoot,root,finalheight,finalstemw,numlvs,numflwrleaves,length3leaf,width3leaf,red,green,blue
748,89,0,22,8.3,3.65,1.58,105,5.39,5,2,16.7,1.8,141.298856847812,87.121,84.6190429369513
749,85,-6,21,2,2.98,1.06,96.2,4.12,4,2,20.3,2,135.38670441819,91.213,92.9730903670932
750,93,-1,25,3.4,3.51,1.01,104,3.04,4,2,15.2,2.1,134.854394674825,90.239,83.7431750742886
751,83,2,19,6.4,5.48,1.71,103.8,3.65,5,3,17.5,2.2,127.651092086541,76.301,68.7559925450048
752,98,-4,32,4.5,5.2,2.3,115.8,6.8,6,3,18.2,2.3,197.034700427202,110.068,117.75605623771
753,89,0,21,11.2,3.49,1.67,107,5.32,5,2,16.5,2,135.937812314444,78.944,79.7147670438007
754,98,7,21,9.6,3.23,2.06,112,5.27,6,3,13,1.7,179.429802792143,98.414,86.3396997634863
755,89,0,21,7.5,3.51,1.61,108.1,5.11,5,3,18.4,2.1,129.136554020911,81.28,76.0001470729074
756,95,11,22,9.8,2.62,1.82,126.4,4.38,6,3,15.5,1.7,131.42886760214,95.237,78.0921714948235
757,137,NA,66,11,3.93,2.3,28.7,8.25,7,0,22.4,2.3,49.4406429697592,40.333,39.4153289986198
758,89,11,19,11.5,2.92,0.93,67.8,5.86,5,1,20.2,2.2,96.0198962791491,64.201,64.8751413862828
759,84,0,21,9.7,2.3,1.04,95.5,4.2,5,2,21.8,1.9,201.134318626616,124.214,113.067385157408
760,95,2,21,9.6,3.72,1.76,122.1,5.58,5,3,17,2.1,155.212111235896,96.49,100.130228918167
761,90,-2,19,5.2,4.24,1.14,104.5,5.12,6,2,15.4,1.9,139.595080279951,64.989,74.2801944463955
762,79,6,22,6.5,3.08,1.17,113.2,3.81,7,4,10.1,1.5,89.1082448338553,44.91,48.4347751519683
763,86,0,29,9.3,4.35,1.43,120.5,5.94,6,2,19,2.5,202.196083297824,74.09,78.7828211403353
764,86,0,21,8.6,3.33,1.32,92.1,4.66,6,4,14.5,2,186.200187830251,89.666,92.7746258542468
765,95,2,30,11.3,4.61,1.73,141.8,5.87,5,3,20.7,2.1,162.824187182019,90.839,100.402226722279
766,106,5,21,13.1,4.81,3.14,101.2,5.39,5,3,19.4,2.2,134.25182409473,80.847,62.7299374543621
767,86,0,21,4.7,4.07,1.11,112.3,5.55,5,3,16.5,2,155.997097919419,83.623,76.920091885373
768,86,5,21,9.5,3.47,1.06,131.4,5.72,6,3,15.2,1.6,111.086831480783,67.466,64.319856044561
769,104,4,21,13,3.89,2.62,80.9,7.68,5,2,17.3,2.4,171.666208583595,120.501,96.0743855051959
770,91,1,21,10.4,3.77,1.78,107.8,5.22,4,2,19.6,2.3,148.607685110029,66.339,68.7634369830913
771,91,7,23,11.5,3.13,1.47,106,5.15,5,2,18.2,1.8,148.569525033192,61.075,66.9917527568462
772,86,0,21,9.2,2.7,0.82,100.8,4.53,4,2,22.6,1.9,289.215843801361,235.817,129.81487405182
773,92,0,21,9.5,3.92,2.09,87.9,6.38,5,3,14.7,2.4,102.570969778737,59.9,59.8007345997263
774,108,5,39,13.4,5.67,2.96,149.3,7.08,5,3,24.6,2.5,131.868747319351,89.701,86.9204156981974
775,91,-2,25,9.4,3.86,2.3,109,6.17,5,2,11,2.2,179.227779706024,99.161,83.9482586151443
776,NA,NA,79,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
777,108,7,46,13.2,4.25,3.02,114.4,7.2,5,3,19.9,2.2,124.273151943526,62.717,73.8256044867413
778,110,6,63,14.4,1.9,1.35,68.7,5.87,4,2,34.2,2.5,160.397555747235,82.171,73.3517243281196
779,113,2,46,14.2,5.34,3.27,136.1,6.38,5,3,19.4,2.4,145.748937361187,88.269,98.409255211751
780,109,7,42,17.4,4.7,2.68,105.6,6.82,4,2,38.1,2.4,157.42640635189,87.282,92.2229222674325
781,98,14,22,14.1,3.34,2.6,74.3,6.36,4,2,18.7,2.5,167.828241828997,121.986,78.9566208621424
782,85,4,21,10,4.16,1.24,135,3.53,5,2,21.5,2.2,103.769815604717,75.695,65.3209996734608
783,90,4,22,9.1,2.39,1.39,71.2,4.44,4,1,26.6,1.7,126.642289101389,70.627,73.362877947133
784,86,2,20,7.1,3.36,1.96,100.5,5.75,4,1,27.2,2,136.652461279051,68.283,59.5372415678445
785,90,4,21,8.3,3.69,1.45,121.3,5.46,5,2,12.4,2.3,199.115812670759,133.626,95.5084504772385
786,89,0,27,6.6,3.58,1.26,91.1,6.22,5,3,12.5,2.2,260.624815841655,148.283,131.554985319068
787,97,0,20,6.3,3.98,2.51,79.2,5.53,5,3,19.5,1.8,104.418299566655,61.312,56.4689033262135
788,88,-2,23,7.2,3.35,1.96,97.2,5.49,6,3,11.9,1.9,148.557353021056,81.923,80.7196591469704
789,97,0,21,10.2,5.18,1.62,104.1,6.59,5,2,19.6,2,126.023127442685,75.476,77.5541639728196
790,92,3,22,8.3,3.9,1.97,114.1,5.4,4,2,25.6,1.9,130.136959178167,77.121,74.8145653322775
791,93,7,21,11,3.83,1.12,97,5.36,4,2,19.5,2.3,205.521306123384,110.817,86.6265203157234
792,92,5,19,11.5,3.28,2.43,98.2,5.84,5,2,16.1,2,157.371676856064,102.357,100.289125844573
793,92,6,21,10.2,3.34,1.99,95.2,5.91,5,3,15.1,1.8,115.527986315627,60.933,64.5809008202577
794,109,5,39,12.6,6.58,3.15,101,7.46,5,2,22.3,2.2,184.050413769904,155.082,110.297444325074
795,102,6,28,13.2,4.8,2.08,139.3,5.88,4,2,25.8,2.2,122.733015291564,85.128,71.5765994809544
796,95,10,19,15.4,3.97,2.12,80,5.94,5,1,20.3,2.7,244.214351661604,146.722,133.512196707466
797,97,2,21,9.8,3.68,1.71,100.6,5.32,5,1,20.4,1.9,77.9205497804102,58.28,60.8457968729384
798,93,4,22,9,3.62,1.91,97.3,4.52,4,2,25.6,2.4,127.034376042717,57.603,64.4260114808503
799,88,2,21,8.9,4.7,1.37,163.8,6.59,6,3,11.2,1.6,141.750081761742,107.603,103.329064157464
800,86,3,23,6.9,3.9,1.29,104.7,6.83,6,3,13.8,1.8,167.580215744044,65.411,70.2721066440254
801,92,4,21,10.4,4.13,2.28,141,4.05,5,2,20.6,2.3,128.532327384165,72.776,76.259526126886
802,95,3,20,14.5,4.71,2.31,134.3,5.52,4,2,26.3,2.1,196.618552456039,124.393,107.196639666329
803,87,4,19,10.9,1.83,0.9,77.5,3.55,4,1,24,1.7,127.860994164644,79.965,73.317453213034
804,87,2,22,10.1,2.29,1.27,96.7,3.49,4,2,27.3,1.7,138.126550396258,73.699,70.5960456096177
805,109,5,57,15,4.37,2,124.7,5.13,4,3,29.9,2.6,189.235003709007,160.229,116.497229610956
806,89,2,26,4.9,3.96,1.72,102.1,5.4,6,3,15.9,2.3,151.099253904737,101.035,91.8811249800479
807,95,6,25,14.4,5.56,1.66,147.7,5.46,5,3,19.6,1.9,NA,NA,NA
808,86,5,21,10.7,2.89,1.31,113.5,4.97,4,2,24,2,138.081319689794,68.854,58.8750617471706
809,97,-7,22,3.2,3.23,1.85,77.7,5.31,5,2,22,1.9,148.771427152585,82.011,80.4991771836654
810,91,4,21,14,3.5,1.57,90.5,4.9,5,2,20.1,2.3,103.955905790073,54.995,59.7388919316302
811,87,5,21,10.5,4.45,1.49,111.6,3.64,5,1,19,2.1,210.546603541682,149.989,121.613258521616
812,NA,NA,20,NA,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
813,94,8,21,9.8,4.16,1.93,141,5.16,4,1,20.3,2.1,NA,NA,NA
814,89,6,19,12.9,4.17,2.2,129.4,5.69,5,3,20.1,1.6,249.475755026783,162.925,145.887269230471
815,98,1,21,11.2,4.08,2.44,121.8,5.24,5,2,19,2,161.296792081434,90.824,80.0402195137423
816,101,1,30,7.9,3.75,2.57,70.3,5.25,5,1,23.1,2.8,169.951374486784,70.509,66.3941039207137
817,86,2,21,5,2.54,0.84,109,4.2,6,2,11.9,1.8,137.348263650641,86.613,72.3765306916467
818,89,2,21,11.3,3.64,1.19,81.6,5.48,5,2,16.2,1.8,247.469852538738,141.378,139.692926037543
819,106,6,21,9.8,3.98,2.72,106.8,6.38,7,3,15.9,1.9,119.545138846242,58.374,57.1387353437185
820,89,0,21,7.5,3.67,1.77,110.8,5.8,5,2,24.2,2.1,204.663591155016,124.04,111.882236072483
821,94,6,24,10.2,3.76,2.21,114.3,6.6,4,3,25.2,1.9,168.919674855522,91.823,83.2222252379536
822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
823,94,1,22,7.8,5.19,2.52,113.7,5.85,5,3,20,2.3,173.413579917674,102.739,83.594219657349
824,86,0,21,5,2.81,1.06,108.6,4.99,5,2,14,2,175.46797223295,114.972,107.411152407406
825,92,3,21,10.2,3.62,1.95,94.9,5.61,4,1,19.5,2.2,166.982959062524,90.01,89.3536232323145
826,85,3,21,9.8,3.66,1.23,124.8,3.12,4,2,28.3,2.1,210.921475868056,132.807,141.0732186274
827,88,3,21,8.5,3.78,1.77,99.2,5.52,5,2,22,2.3,189.023226350928,134.741,124.555471602434
828,103,5,21,13.5,3.27,2.7,88.8,6.41,6,3,16.5,1.7,186.241645051988,119.79,113.546591182121
829,85,-4,21,5.5,3.1,0.82,95.1,3.34,4,2,19.2,2.1,220.313827700869,145.75,140.620464297543
830,92,6,21,11.2,3.92,1.79,116.8,5.5,5,2,13.1,1.9,135.055408757999,69.57,71.2522946386304
831,113,2,21,11.9,7.71,3.5,105.4,8.95,5,4,28,2.4,136.967403083177,104.22,82.7473047801726
832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
833,85,4,21,7.8,2.93,1.32,101,4.78,6,2,12.2,1.7,220.138098784722,143.829,145.612272854987
834,91,8,21,9.8,3.15,1.58,103.8,4.91,5,2,19,2,108.291563931864,50.262,55.8952225464069
835,86,2,23,7.6,3.83,1.3,119.6,5.34,4,2,28.4,2.2,160.73750460784,113.103,111.999184500113
836,95,3,22,5,4.38,2.54,90.9,6.45,5,3,21.4,2.3,212.80972467646,122.831,115.16018215483
837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
