id,sire,dam,dam.pop,sire.pop
571,1571,966,tc,tc
572,1572,981,cl,cl
573,1573,986,cl,cl
574,1574,917,fp,fp
575,1575,979,tx,tx
576,1576,948,mc,mc
577,1577,920,fp,fp
578,1578,951,ml,ml
579,1579,962,tc,tc
580,1580,989,cl,cl
581,1581,903,tz,tz
582,1582,911,fp,fp
583,1583,950,mc,mc
584,1584,911,fp,fp
585,1585,956,ml,ml
586,1586,962,tc,tc
587,1587,905,tz,tz
588,1588,965,tc,tc
589,1589,993,cu,cu
590,1590,984,cl,cl
591,1591,901,tz,tz
592,1592,995,cu,cu
593,1593,924,mt,mt
594,1594,915,fp,fp
595,1595,902,tz,tz
596,1596,911,fp,fp
597,1597,941,mc,mc
598,1598,995,cu,cu
599,1599,993,cu,cu
600,1600,987,cl,cl
601,1601,929,mt,mt
602,1602,978,tx,tx
603,1603,906,tz,tz
604,1604,944,mc,mc
605,1605,1000,cu,cu
606,1606,998,cu,cu
607,1607,915,fp,fp
608,1608,969,tc,tc
609,1609,909,tz,tz
610,1610,965,tc,tc
611,1611,988,cl,cl
612,1612,969,tc,tc
613,1613,999,cu,cu
614,1614,917,fp,fp
615,1615,994,cu,cu
616,1616,962,tc,tc
617,1617,949,mc,mc
618,1618,999,cu,cu
619,1619,902,tz,tz
620,1620,947,mc,mc
621,1621,986,cl,cl
622,1622,963,tc,tc
623,1623,1000,cu,cu
624,1624,975,tx,tx
625,1625,986,cl,cl
626,1626,928,mt,mt
627,1627,988,cl,cl
628,1628,941,mc,mc
629,1629,989,cl,cl
630,1630,919,fp,fp
631,1631,947,mc,mc
632,1632,991,cu,cu
633,1633,971,tx,tx
634,1634,935,da,da
635,1635,933,da,da
636,1636,918,fp,fp
637,1637,990,cl,cl
638,1638,940,da,da
639,1639,927,mt,mt
640,1640,971,tx,tx
641,1641,928,mt,mt
642,1642,985,cl,cl
643,1643,907,tz,tz
644,1644,965,tc,tc
645,1645,998,cu,cu
646,1646,958,ml,ml
647,1647,983,cl,cl
648,1648,925,mt,mt
649,1649,969,tc,tc
650,1650,928,mt,mt
651,1651,994,cu,cu
652,1652,931,da,da
653,1653,983,cl,cl
654,1654,915,fp,fp
655,1655,927,mt,mt
656,1656,945,mc,mc
657,1657,932,da,da
658,1658,990,cl,cl
659,1659,925,mt,mt
660,1660,941,mc,mc
661,1661,931,da,da
662,1662,957,ml,ml
663,1663,970,tc,tc
664,1664,978,tx,tx
665,1665,1000,cu,cu
666,1666,930,mt,mt
667,1667,973,tx,tx
668,1668,985,cl,cl
669,1669,901,tz,tz
670,1670,963,tc,tc
671,1671,917,fp,fp
672,1672,958,ml,ml
673,1673,910,tz,tz
674,1674,969,tc,tc
675,1675,907,tz,tz
676,1676,950,mc,mc
677,1677,944,mc,mc
678,1678,906,tz,tz
679,1679,982,cl,cl
680,1680,999,cu,cu
681,1681,948,mc,mc
682,1682,946,mc,mc
683,1683,904,tz,tz
684,1684,989,cl,cl
685,1685,926,mt,mt
686,1686,966,tc,tc
687,1687,947,mc,mc
688,1688,906,tz,tz
689,1689,986,cl,cl
690,1690,965,tc,tc
691,1691,918,fp,fp
692,1692,957,ml,ml
693,1693,923,mt,mt
694,1694,980,tx,tx
695,1695,908,tz,tz
696,1696,998,cu,cu
697,1697,913,fp,fp
698,1698,956,ml,ml
699,1699,979,tx,tx
700,1700,938,da,da
701,1701,968,tc,tc
702,1702,926,mt,mt
703,1703,939,da,da
704,1704,972,tx,tx
705,1705,977,tx,tx
706,1706,940,da,da
707,1707,970,tc,tc
708,1708,988,cl,cl
709,1709,914,fp,fp
710,1710,970,tc,tc
711,1711,980,tx,tx
712,1712,968,tc,tc
713,1713,995,cu,cu
714,1714,913,fp,fp
715,1715,910,tz,tz
716,1716,961,tc,tc
717,1717,953,ml,ml
718,1718,982,cl,cl
719,1719,915,fp,fp
720,1720,961,tc,tc
721,1721,938,da,da
722,1722,994,cu,cu
723,1723,981,cl,cl
724,1724,928,mt,mt
725,1725,1000,cu,cu
726,1726,949,mc,mc
727,1727,935,da,da
728,1728,944,mc,mc
729,1729,922,mt,mt
730,1730,917,fp,fp
731,1731,959,ml,ml
732,1732,905,tz,tz
733,1733,923,mt,mt
734,1734,983,cl,cl
735,1735,920,fp,fp
736,1736,957,ml,ml
737,1737,905,tz,tz
738,1738,961,tc,tc
739,1739,914,fp,fp
740,1740,922,mt,mt
741,1741,934,da,da
742,1742,991,cu,cu
743,1743,953,ml,ml
744,1744,902,tz,tz
745,1745,947,mc,mc
746,1746,969,tc,tc
747,1747,929,mt,mt
748,1748,980,tx,tx
749,1749,942,mc,mc
750,1750,973,tx,tx
751,1751,933,da,da
752,1752,992,cu,cu
753,1753,923,mt,mt
754,1754,960,ml,ml
755,1755,938,da,da
756,1756,957,ml,ml
757,1757,908,tz,tz
758,1758,996,cu,cu
759,1759,964,tc,tc
760,1760,948,mc,mc
761,1761,992,cu,cu
762,1762,978,tx,tx
763,1763,994,cu,cu
764,1764,912,fp,fp
765,1765,936,da,da
766,1766,904,tz,tz
767,1767,915,fp,fp
768,1768,962,tc,tc
769,1769,904,tz,tz
770,1770,976,tx,tx
771,1771,979,tx,tx
772,1772,921,mt,mt
773,1773,946,mc,mc
774,1774,957,ml,ml
775,1775,975,tx,tx
776,1776,992,cu,cu
777,1777,951,ml,ml
778,1778,958,ml,ml
779,1779,959,ml,ml
780,1780,958,ml,ml
781,1781,953,ml,ml
782,1782,989,cl,cl
783,1783,921,mt,mt
784,1784,934,da,da
785,1785,970,tc,tc
786,1786,927,mt,mt
787,1787,914,fp,fp
788,1788,937,da,da
789,1789,993,cu,cu
790,1790,917,fp,fp
791,1791,964,tc,tc
792,1792,929,mt,mt
793,1793,919,fp,fp
794,1794,910,tz,tz
795,1795,956,ml,ml
796,1796,929,mt,mt
797,1797,996,cu,cu
798,1798,911,fp,fp
799,1799,936,da,da
800,1800,987,cl,cl
801,1801,918,fp,fp
802,1802,966,tc,tc
803,1803,961,tc,tc
804,1804,979,tx,tx
805,1805,909,tz,tz
806,1806,931,da,da
807,1807,993,cu,cu
808,1808,990,cl,cl
809,1809,913,fp,fp
810,1810,990,cl,cl
811,1811,968,tc,tc
812,1812,912,fp,fp
813,1813,965,tc,tc
814,1814,966,tc,tc
815,1815,951,ml,ml
816,1816,987,cl,cl
817,1817,997,cu,cu
818,1818,990,cl,cl
819,1819,907,tz,tz
820,1820,949,mc,mc
821,1821,951,ml,ml
822,1822,953,ml,ml
823,1823,913,fp,fp
824,1824,974,tx,tx
825,1825,929,mt,mt
826,1826,924,mt,mt
827,1827,932,da,da
828,1828,906,tz,tz
829,1829,925,mt,mt
830,1830,942,mc,mc
831,1831,903,tz,tz
832,1832,955,ml,ml
833,1833,998,cu,cu
834,1834,995,cu,cu
835,1835,936,da,da
836,1836,913,fp,fp
837,1837,925,mt,mt
838,1838,945,mc,mc
839,1839,943,mc,mc
840,1840,909,tz,tz
841,1841,973,tx,tx
842,1842,986,cl,cl
843,1843,931,da,da
844,1844,908,tz,tz
845,1845,903,tz,tz
846,1846,933,da,da
847,1847,963,tc,tc
848,1848,946,mc,mc
849,1849,990,cl,cl
850,1850,920,fp,fp
851,1851,964,tc,tc
852,1852,903,tz,tz
853,1853,937,da,da
854,1854,904,tz,tz
855,1855,969,tc,tc
856,1856,966,tc,tc
857,1857,906,tz,tz
858,1858,949,mc,mc
859,1859,907,tz,tz
860,1860,919,fp,fp
861,1861,950,mc,mc
862,1862,914,fp,fp
863,1863,954,ml,ml
864,1864,918,fp,fp
865,1865,955,ml,ml
866,1866,974,tx,tx
867,1867,1000,cu,cu
868,1868,998,cu,cu
869,1869,927,mt,mt
870,1870,901,tz,tz
871,1871,965,tc,tc
872,1872,994,cu,cu
873,1873,965,tc,tc
874,1874,971,tx,tx
875,1875,955,ml,ml
876,1876,984,cl,cl
877,1877,997,cu,cu
878,1878,928,mt,mt
879,1879,956,ml,ml
880,1880,922,mt,mt
881,1881,942,mc,mc
882,1882,984,cl,cl
883,1883,974,tx,tx
884,1884,960,ml,ml
885,1885,989,cl,cl
886,1886,901,tz,tz
887,1887,979,tx,tx
888,1888,995,cu,cu
889,1889,980,tx,tx
890,1890,926,mt,mt
891,1891,954,ml,ml
892,1892,967,tc,tc
893,1893,939,da,da
894,1894,931,da,da
895,1895,931,da,da
896,1896,984,cl,cl
897,1897,948,mc,mc
898,1898,981,cl,cl
899,1899,962,tc,tc
900,1900,939,da,da
